lat,lng,type,city,date,series
1.2949321511118363,103.85352718220999,Anomaly,Singapore,2024-08-17,2024-sharedmem
51.91716,4.474,Anomaly,"Rotterdam, NL",2024-08-17,2024-sharedmem
-8.040813,-34.898616,Shard Skirmish,Recife,2024-08-24,2024-sharedmem
44.645851,-63.574235,Shard Skirmish,Halifax,2024-08-24,2024-sharedmem
18.417208,-66.086674,Shard Skirmish,San Juan,2024-08-24,2024-sharedmem
-36.835311,-73.055537,Shard Skirmish,Concepción,2024-08-24,2024-sharedmem
-3.763541,-73.261658,Shard Skirmish,Iquitos,2024-08-24,2024-sharedmem
45.506029,-73.600738,Shard Skirmish,Montreal,2024-08-24,2024-sharedmem
6.231674,-75.586755,Shard Skirmish,Medellín,2024-08-24,2024-sharedmem
42.309548,-83.262775,Shard Skirmish,"Dearborn, MI",2024-08-24,2024-sharedmem
9.962396,-84.083527,Shard Skirmish,San José,2024-08-24,2024-sharedmem
-6.773384,-79.815215,Shard Skirmish,Chiclayo,2024-08-24,2024-sharedmem
30.444062,-91.143817,Shard Skirmish,"Baton Rouge, LA",2024-08-24,2024-sharedmem
46.781175,-92.1038,Shard Skirmish,"Duluth, MN",2024-08-24,2024-sharedmem
25.715764,-100.250075,Shard Skirmish,Monterrey,2024-08-24,2024-sharedmem
40.524009,-105.058291,Shard Skirmish,"Fort Collins, CO",2024-08-24,2024-sharedmem
52.119662,-106.644167,Shard Skirmish,Saskatoon,2024-08-24,2024-sharedmem
36.102457,-115.167873,Shard Skirmish,"Las Vegas, NV",2024-08-24,2024-sharedmem
21.301891,-157.838476,Shard Skirmish,"Honolulu, HI",2024-08-24,2024-sharedmem
14.599542,-90.530567,Shard Skirmish,Guatemala City,2024-08-24,2024-sharedmem
35.165649,129.057144,Shard Skirmish,Busan,2024-08-31,2024-sharedmem
10.310861,123.897255,Shard Skirmish,Cebu City,2024-08-31,2024-sharedmem
51.161604,71.423681,Shard Skirmish,Astana,2024-08-31,2024-sharedmem
35.144676,126.864823,Shard Skirmish,Gwangju,2024-08-31,2024-sharedmem
-37.8298,145.000572,Shard Skirmish,"Melbourne, VIC",2024-08-31,2024-sharedmem
18.520048,73.867577,Shard Skirmish,Pune,2024-08-31,2024-sharedmem
6.906273,79.879222,Shard Skirmish,Colombo,2024-08-31,2024-sharedmem
5.970151,116.072317,Shard Skirmish,Kota Kinabalu,2024-08-31,2024-sharedmem
17.416137,78.418138,Shard Skirmish,Hyderabad,2024-08-31,2024-sharedmem
18.794713,98.999184,Shard Skirmish,Chiang Mai,2024-08-31,2024-sharedmem
-37.782565,175.305685,Shard Skirmish,Hamilton,2024-08-31,2024-sharedmem
-7.951493,112.630288,Shard Skirmish,"Malang City, East Java",2024-08-31,2024-sharedmem
24.730801,121.740777,Shard Skirmish,Yilan,2024-08-31,2024-sharedmem
-19.26003,146.809079,Shard Skirmish,"Townsville, QLD",2024-08-31,2024-sharedmem
28.61844,77.248893,Shard Skirmish,Delhi,2024-08-31,2024-sharedmem
23.480467,120.45123,Shard Skirmish,Chiayi City,2024-08-31,2024-sharedmem
21.021894,105.843087,Shard Skirmish,Hanoi,2024-08-31,2024-sharedmem
40.858124,14.274094,Shard Skirmish,Naples,2024-09-14,2024-sharedmem
49.751074,13.386718,Shard Skirmish,Pilsen,2024-09-14,2024-sharedmem
